name,R@1,ΔR@1_pp,R@5,R@10,MeanR,ms_per_query
R0_full,0.679,0.0,0.85,0.902,8.884,2.5264601999660954
R1_no_multi_k,0.679,0.0,0.85,0.902,8.884,2.4433624999946915
R2_no_nnn,0.66,-1.9000000000000017,0.835,0.885,9.888,2.428100200020708
R3_no_qamp,0.394,-28.500000000000004,0.61,0.71,31.643,3.2103990000323392
R4_no_col_softmax,0.641,-3.8000000000000034,0.837,0.893,10.541,2.406814900052268
R5_no_rerank,0.374,-30.500000000000004,0.592,0.655,93.695,2.3768335999920964
R6_cosine_only,0.291,-38.800000000000004,0.529,0.644,39.39,0.1114959999686107
M1_no_meta_filter,0.382,-29.700000000000003,0.609,0.702,30.788,0.7032329000066966
M2_with_meta_fusion,0.648,-3.1000000000000028,0.81,0.87,12.072,2.6845639999955893
M3_no_meta_at_all,0.382,-29.700000000000003,0.609,0.702,30.788,0.6855627000331879
